滿	扑满 	[pu1 man3]	/Spardose, Sparschwein (S)/
支付額	支付额 	[zhi1 fu4 e2]	/einen Betrag einzahlen (V)/eine Summe zahlen (V, Wirtsch)/
支付類型	支付类型 	[zhi1 fu4 lei4 xing2]	/Art der Zahlung (S, Wirtsch)/Zahlungsart (S, Wirtsch)/Zahlungsweise (S, Wirtsch)/
支使	支使 	[zhi1 shi3]	/wegschicken (V)/
支倉常長	支仓常长 	[zhi1 cang1 chang2 zhang3]	/Hasekura Tsunenaga (Eig, Pers, 1571 - 1622)/
支出提價	支出提价 	[zhi1 chu1 ti2 jia4]	/Ausgabeaufschlag (S, Wirtsch)/
支出	支出 	[zhi1 chu1]	/Ausgaben, Kosten (S, Wirtsch)/
支出補償	支出补偿 	[zhi1 chu1 bu3 chang2]	/Kostenerstattung (S)/
支努干	支努干 	[zhi1 nu3 gan4]	/Chinook (indianischen Volksstamm) (S)/
支原體	支原体 	[zhi1 yuan2 ti3]	/Mykoplasmen (S, Bio)/
支取	支取 	[zhi1 qu3]	/abheben (vom Konto) (V)/
支吾其詞	支吾其词 	[zhi1 wu5 qi2 ci2]	/Ausflüchte machen (V)/
支吾其辭	支吾其辞 	[zhi1 wu2 qi2 ci2]	/Ausflüchte machen (V)/
支吾	支吾 	[zhi1 wu2]	/stocken (V)/
支囊	支囊 	[zhi1 nang2]	/abgeleitet (Adj)/
支店	支店 	[zhi1 dian4]	/Geschäft (S)/Zweig (S)/Zweiggeschäft (S)/
支座	支座 	[zhi1 zuo4]	/Auflager, Ponton (S)/Postament (S)/
支廳	支厅 	[zhi1 ting1]	/Unterpräfektur (S, Pol, Geo)/
支應	支应 	[zhi1 ying4]	/jmdn. abfertigen (V)/auf jmdn. od etw. nur oberflächlich eingehen (V)/
支承技術	支承技术 	[zhi1 cheng2 ji4 shu4]	/Lagertechnik (S)/
支承	支承 	[zhi1 cheng2]	/Abstützung, Träger, Auflager (S, Tech)/unterstützen, stützen, tragen, lagern (V)/
支承杆	支承杆 	[zhi1 cheng2 gan1]	/Stützstange (S)/
支承物	支承物 	[zhi1 cheng2 wu4]	/Abstützung (S)/
支承精確的	支承精确的 	[zhi1 cheng2 jing1 que4 de5]	/exakt gelagert (Adj)/
支承螺栓	支承螺栓 	[zhi1 cheng2 luo2 shuan1]	/Haltebolzen (S)/
支承裝置	支承装置 	[zhi1 cheng2 zhuang1 zhi4]	/Tragwerk, Tragkonstruktion (S, Tech)/
支承軸	支承轴 	[zhi1 cheng2 zhou2]	/Tragachse, Stützwelle (S, Tech)/
支持不住	支持不住 	[zhi1 chi2 bu2 zhu4]	/unhaltbar (Adj)/
支持器架	支持器架 	[zhi1 chi2 qi4 jia4]	/Haltevorrichtung (S)/
支持得住	支持得住 	[zhi1 chi2 de2 zhu4]	/unterstützbar (Adj) /
支持性	支持性 	[zhi1 chi2 xing4]	/unterstützen (V)/
支持	支持 	[zhi1 chi2]	/ertragen, unterstützen (V)/
支持率	支持率 	[zhi1 chi2 lü4]	/Beliebtheitsgrad (S)/
支持用户	支持用户 	[zhi1 chi2 yong4 hu5]	/Kundensupport (S)/
支持者	支持者 	[zhi1 chi2 zhe3]	/Befürworter (S)/
支持聯合的人	支持联合的人 	[zhi1 chi2 lian2 he2 de5 ren2]	/Koalitionär (S)/
支援性	支援性 	[zhi1 yuan2 xing4]	/unterstützend (Adj)/
支援	支援 	[zhi1 yuan2]	/absichern, unterstützen (V)/fördern, stützen (V)/Ablösung (S)/
支援頭文字	支援头文字 	[zhi1 yuan2 tou2 wen2 zi4]	/Backronym (S, Sprachw)/
支撐住	支撑住 	[zhi1 cheng5 zhu4]	/Abstützung (S)/
支撐得住	支撑得住 	[zhi1 cheng5 de2 zhu4]	/tragfähig (Adj)/
支撐	支撑 	[zhi1 cheng5]	/sich (ab)stützen (V)/
支撐柱	支撑柱 	[zhi1 cheng5 zhu4]	/Stützpfeiler, tragende Säule (S, Arch)/
支撐物	支撑物 	[zhi1 cheng5 wu4]	/Unterstützung, Abstützung (S)/unterstützen (V)/
支撐裝置	支撑装置 	[zhi1 cheng5 zhuang1 zhi4]	/Spreizeinrichtung (S)/
支撐輥	支撑辊 	[zhi1 cheng5 gun3]	/Druckrolle (S)/
支	支 	[zhi1]	/Radikal Nr. 65 = Zweig, stützen, aufrichten, Abzweigung (Sprachw)/ZEW für längliche, stockartige Gegenstände (z. B. Stift, Pinsel, Essstäbchen) (Zähl)/ZEW für Lieder, Musikstücke (Zähl)/
支支吾吾	支支吾吾 	[zhi1 zhi1 wu2 wu2]	/nicht mit der Sprache herauswollen (V)/
支數	支数 	[zhi1 shu4]	/Feinheit (Garn) (S)/
支書	支书 	[zhi1 shu1]	/Sekretär einer Parteizelle (oder Jugendorganisation) (S)/
支架	支架 	[zhi1 jia4]	/Halter, Gerüst, Stativ, Gegenhalterschere, Gestell, Halterung, Konsole (S)/
支柱型產業	支柱型产业 	[zhi1 zhu4 xing2 chan3 ye4]	/Hauptindustriezweige (S, Wirtsch)/
支柱	支柱 	[zhi1 zhu4]	/Stütze, Pfeiler, Stützbalken (S)/
支氣管炎	支气管炎 	[zhi1 qi4 guan3 yan2]	/Bronchitis (S, Med)/
支氣管肺炎	支气管肺炎 	[zhi1 qi4 guan3 fei4 yan2]	/Bronchopneumonie (S, Med)/
支派	支派 	[zhi1 pai4]	/Bewässerungsgraben (S)/Unterorganisation, Nebenorganisation, Unterpartei, Splittergruppe (S, Pol)/
支流	支流 	[zhi1 liu2]	/Bewässerungsgraben (S)/Flüsschen (S)/Nebenfluss, Flussarm (S)/Sprössling (S)/
支票印刷機	支票印刷机 	[zhi1 piao4 yin4 shua4 ji1]	/Scheckdruckmaschine (S, Druckw)/
支票	支票 	[zhi1 piao4]	/Scheck (S)/
支票簿	支票簿 	[zhi1 piao4 bu4]	/Scheckbuch (S)/
支票表格	支票表格 	[zhi1 piao4 biao3 ge2]	/Scheckvordruck (S)/
支行	支行 	[zhi1 hang2]	/Filiale (S)/
支街	支街 	[zhi1 jie1]	/Nebenstraße (S)/
支路	支路 	[zhi1 lu4]	/Abzweig (S)/
支那	支那 	[zhi1 na4]	/China (S)/
支部	支部 	[zhi1 bu4]	/Parteigruppe, Grundorganisation (S, Pol)/
支配力	支配力 	[zhi1 pei4 li4]	/Beherrscher (S)/
支配	支配 	[zhi1 pei4]	/lenken (V)/verfügen, disponieren (V)/
支配者	支配者 	[zhi1 pei4 zhe3]	/Beherrscher (S)/
支鏈澱粉	支链淀粉 	[zhi1 lian4 dian4 fen3]	/Amylopektin (S, Chem)/
支隊	支队 	[zhi1 dui4]	/Truppenabteilung (S)/
支離破碎	支离破碎 	[zhi1 li2 po4 sui4]	/zusammenhanglos, fragmentarisch (Adj)/
支領薪水	支领薪水 	[zhi1 ling3 xin1 shui3]	/fest angestellt (Adj)/
攰	攰 	[gui4]	/völlig erschöpft (kanton.) (Adj)/Mandarin: 累[lei4] (X)/
攲	攲 	[qi1]	/hinauf (Adv)/
攴	攴 	[bu1]	/Radikal Nr. 66 = schlagen, Peitsche (Variante: 攵) (Sprachw)/
攵	攵 	[bu1]	/Radikal Nr. 66 = schlagen, Peitsche (Variante: 攴) (Sprachw)/
收件人	收件人 	[shou1 jian4 ren2]	/Adressat (S)/Empfänger (E-Mail, "To:") (S, EDV)/
收件箱	收件箱 	[shou1 jian4 xiang5]	/Posteingang (S)/
收件者	收件者 	[shou1 jian4 zhe3]	/Empfänger (E-Mail) (S)/
收作用	收作用 	[shou1 zuo4 yong4]	/beeinflusst durch (Adj)/
收信人	收信人 	[shou1 xin4 ren2]	/Adressat, Empfänger (S)/
收信	收信 	[shou1 xin4]	/einen Brief empfangen (V)/
收債人	收债人 	[shou1 zhai4 ren2]	/Schuldeneintreiber (S)/
收入來源	收入来源 	[shou1 ru4 lai2 yuan2]	/Einkommensquelle (S)/
收入分配	收入分配 	[shou1 ru4 fen1 pei4]	/Einkommensverteilung (S, Wirtsch)/
收入分配格局	收入分配格局 	[shou1 ru4 fen1 pei4 ge2 ju2]	/Struktur der Einkommensverteilung (S, Wirtsch)/
收入可能性	收入可能性 	[shou1 ru4 ke3 neng2 xing4]	/Verdienstmöglichkeit (S)/
收入工資贬值	收入工资贬值 	[shou1 ru4 gong1 zi1 bian3 zhi2]	/Lohndumping (S, Wirtsch)/Niedriglohn (S, Wirtsch)/
收入差距	收入差距 	[shou1 ru4 cha1 ju4]	/Einkommensunterschied (S)/
收入底線	收入底线 	[shou1 ru4 di4 xian4]	/Einkommensgrenze (S)/
收入彈性	收入弹性 	[shou1 ru4 tan2 xing4]	/Einkommenselastizität (S, Wirtsch)/
收入	收入 	[shou1 ru4]	/Einkommen (S)/Einnahme (S, Wirtsch)/
收入減少	收入减少 	[shou1 ru4 jian3 shao3]	/Einkommensausfall (S, Wirtsch)/
收入範圍	收入范围 	[shou1 ru4 fan4 wei2]	/Einkommensgrenze (S)/
收入降低	收入降低 	[shou1 ru4 jiang4 di1]	/Einkommensschmälerung (S, Wirtsch)/
收兵	收兵 	[shou1 bing1]	/den Rückzug antreten (V)/
收到工資	收到工资 	[shou1 dao4 gong1 zi1]	/fest angestellt (Adj)/
收到提示	收到提示 	[shou1 dao4 ti2 shi4]	/Rückschein (S)/
收到	收到 	[shou1 dao4]	/erhalten; bekommen; empfangen (V)/erreichen; erzielen (V)/
收到請柬	收到请柬 	[shou1 dao4 qing3 jian3]	/einladen (V)/eingeladen (Adj)/
收到貨款	收到货款 	[shou1 dao4 huo4 kuan3]	/Zahlungseingang (S)/
收割工作	收割工作 	[shou1 ge1 gong1 zuo4]	/Erntearbeit (S)/
收割	收割 	[shou1 ge1]	/Mahd (S)/mähen (V)/
收割機	收割机 	[shou1 ge1 ji1]	/Mähmaschine (S)/
收割節	收割节 	[shou1 ge1 jie2]	/Pfingsten (S, Rel)/
收割者	收割者 	[shou1 ge1 zhe3]	/Els Segadors (katalan. Volkslied) (Eig, Mus)/
收割臺	收割台 	[shou1 ge1 tai2]	/Schneidwerk (Mähdrescher) (S)/
收割莊稼的人	收割庄稼的人 	[shou1 ge1 zhuang1 jia5 de5 ren2]	/Erntearbeiter (S)/Weberknecht (S)/
收勢	收势 	[shou1 shi4]	/Schlussschritt (S, Sport)/
收匯	收汇 	[shou1 hui4]	/Deviseneinnahmen (S)/
收取	收取 	[shou1 qu3]	/einkassieren; einziehen (V)/
收取現款	收取现款 	[shou1 qu3 xian4 kuan3]	/Inkasso (S)/
收受賄賂	收受贿赂 	[shou1 shou4 hui4 lu4]	/bestechen lassen (V)/
收回投資	收回投资 	[shou1 hui2 tou2 zi1]	/amortisieren (V)/
收回	收回 	[shou1 hui2]	/wiedergewinnen, zurückgewinnen (V)/Einzug (S)/Wiedergewinnung (S)/Wiederinbesitznahmen (S)/Zurückholung (S)/entziehen (V)/zurückbekommen (V)/zurücknehmen (V)/zurückweichen (V)/zurückziehen (V)/
收回資本	收回资本 	[shou1 hui2 zi1 ben3]	/amortisieren (V)/
收報	收报 	[shou1 bao4]	/belohnt werden (V)/Vergeltung erlangen (V)/
收場	收场 	[shou1 chang3]	/Ende (S)/enden (V)/
收容所	收容所 	[shou1 rong2 suo3]	/Asyl (S)/
收尾	收尾 	[shou1 wei3]	/sich hinaufwinden (V)/
收工	收工 	[shou1 gong1]	/Dienstschluss (S)/Feierabend (S)/
收市	收市 	[shou1 shi4]	/Handelsschluss (S, Wirtsch)/einen Markt schließen (V)/
收得率	收得率 	[shou1 de2 shuai4]	/Ausbringen (S)/
收復	收复 	[shou1 fu4]	/entdecken, wiederherstellen (V)/Wiedereinnahme (S), wieder einnehmen (V)/
收悉	收悉 	[shou1 xi1]	/gut angekommen (V)/
收成	收成 	[shou1 cheng2]	/Ernte (S)/ernten (V)/
收拾	收拾 	[shou1 shi2]	/aufräumen (V)/in Ordnung bringen (V)/packen (V)/
收拾	收拾 	[shou1 shi5]	/sauber machen (V)/
收捲	收卷 	[shou1 juan3]	/aufrollen (V)/
收據	收据 	[shou1 ju4]	/Abnahmebescheinigung (S)/Quittung (S)/Empfangsbestätigung (S)/
收攏	收拢 	[shou1 long3]	/etw. einziehen (Fahne, Netz) (V)/jmdn. auf seine od. ihre Seite ziehen (V)/
收攤	收摊 	[shou1 tan1]	/den Verkaufsstand schließen, Feierabend machen (V)/
收支平衡	收支平衡 	[shou1 zhi1 ping2 heng2]	/Finanzausgleich (S)/
收支平衡表	收支平衡表 	[shou1 zhi1 ping2 heng2 biao3]	/Bilanz (S, Wirtsch)/
收支	收支 	[shou1 zhi1]	/Einnahmen und Ausgaben, Bilanz (S)/
收支相抵	收支相抵 	[shou1 zhi1 xiang1 di3]	/Kosten decken (V)/
收	收 	[shou1]	/annehmen, entgegennehmen (V)/
收效	收效 	[shou1 xiao4]	/Ergebnis (S)/
收斂劑	收敛剂 	[shou1 lian3 ji4]	/adstringierend (Adj)/Adstringens (S, Med)/
收斂半徑	收敛半径 	[shou1 lian4 ban4 jing4]	/Konvergenzradius (S, Math)/
收斂性	收敛性 	[shou1 lian4 xing4]	/adstringierend, zusammenziehend (Adj)/
收斂	收敛 	[shou1 lian3]	/Kontraktion (S)/Konvergenz (S, Math)/konvergieren (V)/zusammenziehen (V)/
收斂數列	收敛数列 	[shou1 lian3 shu4 lie4]	/konvergente Folge (S, Math)/
收會費	收会费 	[shou1 hui4 fei4]	/Kongressgebühren (S)/
收條	收条 	[shou1 tiao2]	/empfangen (V)/
收款人	收款人 	[shou1 kuan3 ren2]	/Destinatär, der Leistungsberechtigte (S)/
收款台	收款台 	[shou1 kuan3 tai2]	/Kassa (S)/Kasse (S)/
收款員	收款员 	[shou1 kuan3 yuan2]	/Kassierer (S)/
收款手鋸	收款手锯 	[shou1 kuan3 shou3 ju1]	/Kassenbeleg (S)/
收款	收款 	[shou1 kuan3]	/Einzug (S)/Inkasso (S)/kassieren (V)/
收款機	收款机 	[shou1 kuan3 ji1]	/Kasse (S)/
收款櫃檯	收款柜台 	[shou1 kuan3 gui4 tai2]	/Kasse (S)/
收款權	收款权 	[shou1 kuan3 quan2]	/Einzugsermächtigung (S)/
收款處	收款处 	[shou1 kuan3 chu4]	/Sammelplatz, Sammelstelle (S)/
收歸國有	收归国有 	[shou1 gui1 guo2 you3]	/Nationalisierung (S)/
收汁墨魚仔	收汁墨鱼仔 	[shou1 zhi1 mo4 yu2 zi1]	/kleine Tintenfische in Gemüsesoße (S, Ess)/
收率	收率 	[shou1 lü4]	/Ausbringen, Gewinnungsgrad (S)/
收留所	收留所 	[shou1 liu2 suo3]	/Baracke zur Aufnahme von Menschen in Not (S, Arch)/Haus zur Aufnahme von Bedürftige (z. B. Flüchtlinge, Obdachlose) (S, Arch)/Stelle zur Aufnahme von Menschen in Not (z. B. Flüchtlinge, Obdachlose, Bedürftige) (S)/
收發器	收发器 	[shou1 fa1 qi4]	/Sender-Empfänger, Transceiver (S, Tech)/
收發室	收发室 	[shou1 fa1 shi4]	/Aufnahmeraum (S)/
收益人	收益人 	[shou1 yi4 ren2]	/Begünstigter (S)/
收益公司債	收益公司债 	[shou1 yi4 gong1 si1 zhai4]	/Gewinnobligation (S)/
收益分配	收益分配 	[shou1 yi4 fen1 pei4]	/Einkommensverteilung (S)/
收益性	收益性 	[shou1 yi4 xing4]	/Rentabilität (S)/
收益	收益 	[shou1 yi4]	/Ausbeute, Nutzung, Gewinn, Einkünfte, Einnahmen, Einkommen, Verdienst, Erlös, Abwurf (S)/
收益最大化	收益最大化 	[shou1 yi4 zui4 da4 hua4]	/Gewinnmaximierung, Profitmaximierung (S, Wirtsch)/
收益率	收益率 	[shou1 yi4 lü4]	/Rendite (S, Wirtsch)/
收益管理	收益管理 	[shou1 yi4 guan3 li3]	/Ertragsmanagement (S)/
收益能力	收益能力 	[shou1 yi4 neng2 li4]	/Ertragskraft (S)/
收盤價	收盘价 	[shou1 pan2 jia4]	/Schlussnotierung (S)/
收盤	收盘 	[shou1 pan2]	/Börsenschluss (S)/
收看	收看 	[shou1 kan4]	/fernsehen (V)/
收稅人	收税人 	[shou1 shui4 ren2]	/Zollbeamte (S)/
收稅員	收税员 	[shou1 shui4 yuan2]	/Finanzbeamte (S)/
收稅官	收税官 	[shou1 shui4 guan1]	/Eichmeister (S)/
收穫季節	收获季节 	[shou1 huo4 ji4 jie2]	/Erntezeit (S, Agrar)/
收穫感恩節	收获感恩节 	[shou1 huo4 gan3 en1 jie2]	/Erntedankfest (S)/
收穫	收获 	[shou1 huo4]	/Ernte, Ertrag, Ergebnis (S)/
收穫法	收获法 	[shou1 huo4 fa3]	/Ernteverfahren (S, Agrar)/
收穫節	收获节 	[shou1 huo4 jie2]	/Erntedankfest (S)/
收穫者	收获者 	[shou1 huo4 zhe3]	/Erntearbeiter (S)/
收穫量	收获量 	[shou1 huo4 liang4]	/Ernteertrag (S, Agrar)/
收納	收纳 	[shou1 na4]	/annehmen (V)/
收紙保護裝置	收纸保护装置 	[shou1 zhi3 bao3 hu4 zhuang1 zhi4]	/Auslageschutz (S)/
收紙	收纸 	[shou1 zhi3]	/Auslage (S)/
收紙機組	收纸机组 	[shou1 zhi3 ji1 zu3]	/Exemplarauslage (S)/
收紙裝置	收纸装置 	[shou1 zhi3 zhuang1 zhi4]	/Auslage, Falzauslage (S)/
收結匯	收结汇 	[shou1 jie2 hui4]	/Devisenempfang und -abrechnung (S)/
收緊	收紧 	[shou1 jin3]	/zusammenziehen, festziehen (V)/
收縮壓	收缩压 	[shou1 suo1 ya1]	/systolischer Blutdruck (S, Med)/
收縮	收缩 	[shou1 suo1]	/Kontraktion, Schrumpfprozess (S)/eingehen, einlaufen (V)/kürzen, einschränken, verringern (V)/schrumpfen (V)/
收縮量	收缩量 	[shou1 suo1 liang4]	/Eingehen (Papier) (S)/
收繳	收缴 	[shou1 jiao3]	/etw. erbeuten (V, Mil)/
收聽	收听 	[shou1 ting1]	/anhören, lauschen, hören (V)/
收藏品	收藏品 	[shou1 cang2 pin3]	/Sammlerstück (S)/
收藏夾	收藏夹 	[shou1 cang2 jia1]	/Favoriten (EDV)/
收藏夾菜單	收藏夹菜单 	[shou1 cang2 jia1 cai4 dan1]	/Menü Favoriten (S, EDV)/
收藏室	收藏室 	[shou1 cang2 shi4]	/Sammlung (S)/
收藏家	收藏家 	[shou1 cang2 jia1]	/Sammler (S)/
收藏	收藏 	[shou1 cang2]	/sammeln (V)/
收視率	收视率 	[shou1 shi4 lü4]	/Einschaltquote (S)/
收訊管	收讯管 	[shou1 xun4 guan3]	/Empfängerröhre (S)/
收貨人	收货人 	[shou1 huo4 ren2]	/Empfänger (von Lieferungen) (S)/
收貨地址	收货地址 	[shou1 huo4 di4 zhi3]	/Lieferadresse (S)/
收貨	收货 	[shou1 huo4]	/Ware in Empfang nehmen (V)/
收買	收买 	[shou1 mai3]	/Kauf (S)/bestechen (V)/
收買破爛的人	收买破烂的人 	[shou1 mai3 po4 lan4 de5 ren2]	/Lumpenhändler (S)/
收費公路	收费公路 	[shou1 fei4 gong1 lu4]	/gebührenpflichtige Straße (S)/
收費增加	收费增加 	[shou1 fei4 zeng1 jia1]	/Gebührenerhöhung (S)/
收費	收费 	[shou1 fei4]	/Aufladung (S)/Gage (S)/Preis (S)/Tarif (S)/Geld kassieren, Gebühren erheben (V, Wirtsch)/kostenpflichtig (Adj)/
收費條例	收费条例 	[shou1 fei4 tiao2 li4]	/Gebührenordnung (S)/
收費標準	收费标准 	[shou1 fei4 biao1 zhun3]	/Gebührenskala (S)/
收費物品	收费物品 	[shou1 fei4 wu4 pin3]	/Mautgut (S, Wirtsch)/
收費率	收费率 	[shou1 fei4 shuai4]	/Abonnementspreis (S)/
收費站	收费站 	[shou1 fei4 zhan4]	/Mautstelle (S)/
收費章	收费章 	[shou1 fei4 zhang1]	/Gebührenmarke (S)/
收費處	收费处 	[shou1 fei4 chu4]	/Gebührenstelle (S)/
收費規定	收费规定 	[shou1 fei4 gui1 ding4]	/Gebührenordnung (S)/
收費道路	收费道路 	[shou1 fei4 dao4 lu4]	/gebührenpflichtige Straße (S, Infra)/
收費電視	收费电视 	[shou1 fei4 dian4 shi4]	/Payview, Bezahltfernsehen (S)/
收賬	收帐 	[shou1 zhang4]	/Inkasso (S, Wirtsch)/Schulden einholen (eintreiben) (V, Wirtsch)/
收購企業	收购企业 	[shou1 gou4 qi3 ye4]	/Unternehmensübernahme, Übernahme (S, Wirtsch)/
收購價	收购价 	[shou1 gou4 jia4]	/Bezugspreis (S)/
收購廣告單	收购广告单 	[shou1 gou4 guang3 gao4 dan1]	/Directmail (S, Wirtsch)/
收購	收购 	[shou1 gou4]	/akquirieren (V)/ankaufen (V)/aufkaufen (V)/
收走	收走 	[shou1 zou3]	/abräumen (V)/
收起來	收起来 	[shou1 qi3 lai5]	/gedeckt (Adj)/
收進	收进 	[shou1 jin4]	/zurückgesetzte Fassade (S)/
收針	收针 	[shou1 zhen1]	/Fanggestrick (S)/
收銀台	收银台 	[shou1 yin2 tai2]	/Kassa (S)/Kasse (S)/
收銀員	收银员 	[shou1 yin2 yuan2]	/Kassierer, Kassiererin (S)/
收銀器	收银器 	[shou1 yin2 qi4]	/Registrierkasse (S)/
收銀條	收银条 	[shou1 yin2 tiao2]	/Kassenzettel (S)/
收銀機	收银机 	[shou1 yin2 ji1]	/Registrierkasse (S)/
收錄室	收录室 	[shou1 lu4 shi4]	/Aufnahmeraum (S)/
收錄	收录 	[shou1 lu4]	/engagieren, anstellen, einstellen (V)/
收錢	收钱 	[shou1 qian2]	/kassieren (V)/
收集	收集 	[shou1 ji2]	/thesauriert (Adj)/Aufhäufung (S)/Einzug (S)/Erfassung (S)/Sammlung (S)/Thesaurierung (S)/erfassen, ansammeln, sammeln (V)/aufheben (V)/thesaurieren (V)/versammeln (V)/
收集政據	收集政据 	[shou1 ji2 zheng4 ju4]	/Beweiserhebung (S, Rechtsw)/
收集數據	收集数据 	[shou1 ji2 shu4 ju4]	/Datenerfassung (S)/
收集板	收集板 	[shou1 ji2 ban3]	/Kollektor (S)/
收集箱	收集箱 	[shou1 ji2 xiang1]	/Sammelbüchse (S)/
收集起來	收集起来 	[shou1 ji2 qi3 lai5]	/fassen (V)/gefasst (Adj)/
收集起來的	收集起来的 	[shou1 ji2 qi3 lai5 de5]	/gesammelt (Adj)/
收音機	收音机 	[shou1 yin1 ji1]	/Radio (S)/Rundfunkempfänger (S)/
收養	收养 	[shou1 yang3]	/Adoption (S)/adoptieren (V)/
收養的孩子	收养的孩子 	[shou1 yang3 de5 hai2 zi5]	/Adoptivkind (S)/
收養關係	收养关系 	[shou1 yang3 guan1 xi5]	/angenommen (Adj)/
攷古學	攷古學 	[kao3 gu3 xue2]	/Altertumsforschung (S)/
攷	攷 	[kao3]	/prüfen, begutachten (V)/
攷案首	攷案首 	[kao3 an4 shou3]	/der Beste der Prüfung (siehe 秀才[xiu4 cai2]) (S, Sprachw)/
攷試院	攷试院 	[kao3 shi4 yuan4]	/oberste Behörde für die Staatsprüfungen (S)/Prüfungshof (S)/
攸	攸 	[you1]	/You (Eig, Fam)/
攸縣	攸县 	[you1 xian4]	/Kreis You (Provinz Hunan, China) (Eig, Geo)/
改並五音集韻	改并五音集韵 	[gai3 bing4 wu3 yin1 ji2 yun4]	/Gaibing wuyin jiyun (ein Zeichenlexikon der chinesischen Sprache) (Eig, Werk)/
改並五音類聚四聲篇海	改并五音类聚四声篇海 	[gai3 bing4 wu3 yin1 lei4 ju4 si4 sheng1 pian1 hai3]	/Gaibing wuyin leiju sisheng pianhai (ein Zeichenlexikon der chinesischen Sprache) (Eig, Werk)/
改作	改作 	[gai3 zuo4]	/Neugestaltung (S)/
改來改去	改来改去 	[gai3 lai2 gai3 qu4]	/herumreformieren, hin und her reformieren, immer wieder ändern (V)/
改信仰者	改信仰者 	[gai3 xin4 yang3 zhe3]	/Bekehrungseifer (S)/
改刀	改刀 	[gai3 dao1]	/Schraubenzieher (Umgangssprache) (S)/
改刊	改刊 	[gai3 kan1]	/Heftumstellung (S)/
改到	改到 	[gai3 dao4]	/umändern in (V)/
改制	改制 	[gai3 zhi4]	/Änderung der Gesetze (S)/Änderung der Verfahren, Verfahrensänderung (S)/Änderung des Systems, Systemänderung (S)/das System ändern, die Regeln ändern (V)/das Verfahren ändern, die Ordnung ändern (V)/
改則	改则 	[gai3 ze2]	/Gaize (Ort in Tibet) (Eig, Geo)/
改則縣	改则县 	[gai3 ze2 xian4]	/Kreis Gêrzê, Kreis Gerze (Autonomes Gebiet Tibet, China) (Eig, Geo)/
改動	改动 	[gai3 dong4]	/abändern (V)/
改名或改姓	改名或改姓 	[gai3 ming2 huo4 gai3 xing4]	/Namensänderung (S)/
改善工程	改善工程 	[gai3 shan4 gong1 cheng2]	/bauliche Sanierung (S)/
改善	改善 	[gai3 shan4]	/Verbesserung (S)/verbessern (V)/
改善的新聞紙	改善的新闻纸 	[gai3 shan4 de5 xin1 wen2 zhi3]	/aufgebessertes Papier (S)/
改善裝備	改善装备 	[gai3 shan4 zhuang1 bei4]	/aufrüsten (V)/
改型	改型 	[gai3 xing2]	/Nachrüstung (S)/
改天	改天 	[gai3 tian1]	/ein anderer Tag (S)/eines Tages (S)/
改奉	改奉 	[gai3 feng4]	/konvertieren (V)/
改嫁	改嫁 	[gai3 jia4]	/wieder heiraten (V)/
改建	改建 	[gai3 jian4]	/umbauen (V, Wirtsch)/
改建的建築物	改建的建筑物 	[gai3 jian4 de5 jian4 zhu4 wu4]	/Umbau (S)/
改性	改性 	[gai3 xing4]	/modifizieren (V)/
改成	改成 	[gai3 cheng2]	/umschulden (V)/
改	改 	[gai3]	/ändern, korrigieren (V)/
改方向	改方向 	[gai3 fang1 xiang4]	/neue Richtung (S)/die Richtung ändern (V)/
改期費	改期费 	[gai3 qi1 fei4]	/Umbuchungsgebühr (S)/
改正	改正 	[gai3 zheng4]	/korrigieren, berichtigen (V)/
改正液	改正液 	[gai3 zheng4 ye4]	/Korrekturflüssigkeit, Tipp-ex (S)/
改正者	改正者 	[gai3 zheng4 zhe3]	/Bearbeiter (S)/Bearbeitungsstatus (S)/Gleichrichter (S)/bearbeiten (V)/
改正錯誤	改正错误 	[gai3 zheng4 cuo4 wu4]	/Fehler abstellen (V)/Fehler korrigieren (V)/
改用	改用 	[gai3 yong4]	/übergehen (V)/
改種	改种 	[gai3 zhong3]	/umpflanzen (V)/
改稱	改称 	[gai3 cheng1]	/umbenennen (V)/
改組內閣	改组内阁 	[gai3 zu3 nei4 ge2]	/das Kabinett umbilden (oder neubilden) (V)/
改組	改组 	[gai3 zu3]	/Umstrukturierung (S)/
改編劇本	改编剧本 	[gai3 bian1 ju4 ben3]	/Bühnenbearbeitung (S)/
改編成戲劇	改编成戏剧 	[gai3 bian1 cheng2 xi4 ju4]	/Bühnenbearbeitung (S)/
改編	改编 	[gai3 bian1]	/umschreiben (V)/
改編文學	改编文学 	[gai3 bian1 wen2 xue2]	/Sekundärliteratur (S)/
改編為劇本	改编为剧本 	[gai3 bian1 wei2 ju4 ben3]	/dramatisieren (V)/
改航線	改航线 	[gai3 hang2 xian4]	/Umsteuern (S)/
改良主義	改良主义 	[gai3 liang2 zhu3 yi4]	/Reformismus (S)/
改良主義者	改良主义者 	[gai3 liang2 zhu3 yi4 zhe3]	/Reformist (S)/
改良土壤	土壤改良 	[gai3 liang2 tu3 rang3]	/Bodenmelioration, Melioration (S)/
改良家	改良家 	[gai3 liang2 jia1]	/Reformer (S)/
改良	改良 	[gai3 liang2]	/verbessern (V)/
改良者	改良者 	[gai3 liang2 zhe3]	/Verbesserer (S)/Volontär (S)/
改良裝備	改良装备 	[gai3 liang2 zhuang1 bei4]	/Aufrüstung (S)/
